Название файла	Автор	Дата создания текста	Заголовок
_itartass1.xhtml	Латышев Сергей	2004.09.18	Открытие Паралимпийских игр
_itartass2.xhtml	Бычков Андрей	2004.09.18	Китайский лидер Цзян Цзэминь уходит в отставку
_itartass3.xhtml	Останин Сергей	2004.09.18	Отмечается 63-я годовщина рождения советской гвардии
_itartass4.xhtml	Ходий Владимир	2004.09.17	Программу «Аншлаг» и ей подобные на государственном телевидении заменят передачи о культуре и специальный детский канал .
_itartass5.xhtml	Зайцев Борис	2004.09.15	ФИФА выиграла судебную тяжбу за свои права в Интернете
_rbk2.xhtml	неизвестный	2004.09.12	Сейсмологи утверждают, что в КНДР произошло 2 взрыва
_rbk3.xhtml	неизвестный	2004.09.11	К 2040 г. экономическая мощь КНР превысит американскую
_rbk4.xhtml	неизвестный	2004.09.13	Израиль вновь обвинил Сирию в пособничестве террористам
_rbk6.xhtml	неизвестный	2004.09.13	К офшорному аутсорсингу готова треть мировых компаний
_rbk7.xhtml	неизвестный	2004.09.12	В Чечне разбился вертолет Ми-24, один летчик выжил
_rian1.xhtml	Смотров Александр	2004.09.13	Тысячи людей собрались на Трафальгарской площади , чтобы увидеть новую версию знаменитого фильма «Броненосец Потемкин»
_rian2.xhtml	неизвестный	2004.09.13	Российская государственная библиотека посвящает свою выставку юбилею Алексея Суворина
_rian3.xhtml	неизвестный	2004.09.10	Виновник ДТП спросил у полиции , как скрыться
_rian5.xhtml	неизвестный	2004.09.13	На полях былых сражений в Новгородской области в понедельник возобновятся поисковые работы

Имя файла	Найденное имя	Кол-во вхождений
_itartass1.xhtml	АФИНЫ	1
_itartass1.xhtml	Корр	1
_itartass1.xhtml	ИТАР-ТАСС	1
_itartass1.xhtml	Серг`ей	1
_itartass1.xhtml	Латышев	1
_itartass1.xhtml	Презид`ент	1
_itartass1.xhtml	Гр`еции	3
_itartass1.xhtml	Константинос	1
_itartass1.xhtml	Стефанопулос	1
_itartass1.xhtml	Паралимп`ийские	1
_itartass1.xhtml	По	1
_itartass1.xhtml	Игр	3
_itartass1.xhtml	Константиноса	1
_itartass1.xhtml	Караманлиса	1
_itartass1.xhtml	Междунар`одного	2
_itartass1.xhtml	Олимп`ийского	1
_itartass1.xhtml	Жака	1
_itartass1.xhtml	Рогге	1
_itartass1.xhtml	Паралимпийский	2
_itartass1.xhtml	Уч`астников	1
_itartass1.xhtml	Оргкомит`ета	1
_itartass1.xhtml	Аф`ины	1
_itartass1.xhtml	Ио`анна	1
_itartass1.xhtml	Ангелопулос-Даскалаки	1
_itartass1.xhtml	МПК	1
_itartass1.xhtml	Фил	1
_itartass1.xhtml	Крэвен	1
_itartass1.xhtml	Он`и	1
_itartass1.xhtml	Росс`ийская	1
_itartass1.xhtml	В	1
_itartass1.xhtml	Сиднее	1
_itartass1.xhtml	Росс`ийский	1
_itartass1.xhtml	Альб`ерт	1
_itartass1.xhtml	Бакаев	1
_itartass2.xhtml	Кит`айский	1
_itartass2.xhtml	Цзян	2
_itartass2.xhtml	Цзэминь	2
_itartass2.xhtml	СЯНГАН	1
_itartass2.xhtml	ГОНКОНГ	1
_itartass2.xhtml	Корр	1
